week_num,day_num,row_num,userid,username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags,tweet_cursor_id,sentiment,topic
3,1,42824,1.02837e+18,WaiganjoJoe,Web Developer and Designer,,816,155,6075,11/8/2018 19:53,7/6/2020 13:56,0,"#earnmoneyonline #workfromhome #SEO #SEOAudit #Digitalmarketing #technology #techblog #Blogging #Blogger #TechyRack Revealed: Making money online with an Autoblog autoposting content, pass... https://t.co/f4VM0qazhl","[{'text': 'earnmoneyonline', 'indices': [0, 16]}, {'text': 'workfromhome', 'indices': [17, 30]}, {'text': 'SEO', 'indices': [31, 35]}, {'text': 'SEOAudit', 'indices': [36, 45]}, {'text': 'Digitalmarketing', 'indices': [46, 63]}, {'text': 'technology', 'indices': [64, 75]}, {'text': 'techblog', 'indices': [76, 85]}, {'text': 'Blogging', 'indices': [86, 95]}, {'text': 'Blogger', 'indices': [96, 104]}, {'text': 'TechyRack', 'indices': [105, 115]}]",1.26963e+18,"['revealed', 'making', 'money', 'online', 'with', 'an', 'autoblog', 'autoposting', 'content', 'pass']","['revealed', 'making', 'money', 'online', 'autoblog', 'autoposting', 'content', 'pas']"
1,2,2432,38370925.0,Mahalaw,"Employment law atty. Sometimes I talk law, sometimes current issues. Posts are personal opinion & comments, not legal advice. But perhaps are legal advertising?",WI and NY,2527,1329,8959,7/5/2009 4:46,25/5/2020 17:00,1,A picture a day while #wfh. https://t.co/7lib2SBHuG,"[{'text': 'wfh', 'indices': [22, 26]}]",1.26496e+18,"['a', 'picture', 'a', 'day', 'while']","['picture', 'day']"
3,5,56470,1.23328e+18,shadows_ph,Hello Strangers! Welcome to the Strange Shadows twitter page! We hunt ghosts for fun. Join us by subscribing to our youtube channel.,,5,5,17,28/2/2020 6:19,11/6/2020 4:38,0,"😲😱💀

Subscribe to our channel: 
https://t.co/JBZCcN7BHb

#strangeshadows #paranormal #memes2020 #memesdaily #haunted #GhostHunters #ghosthunting #ghost #QuarantineLife #Isolation #HomeAlone #WorkFromHome #hauntedhouse #GhostAdventures https://t.co/wBWbnd9E4T","[{'text': 'strangeshadows', 'indices': [57, 72]}, {'text': 'paranormal', 'indices': [73, 84]}, {'text': 'memes2020', 'indices': [85, 95]}, {'text': 'memesdaily', 'indices': [96, 107]}, {'text': 'haunted', 'indices': [108, 116]}, {'text': 'GhostHunters', 'indices': [117, 130]}, {'text': 'ghosthunting', 'indices': [131, 144]}, {'text': 'ghost', 'indices': [145, 151]}, {'text': 'QuarantineLife', 'indices': [152, 167]}, {'text': 'Isolation', 'indices': [168, 178]}, {'text': 'HomeAlone', 'indices': [179, 189]}, {'text': 'WorkFromHome', 'indices': [190, 203]}, {'text': 'hauntedhouse', 'indices': [204, 217]}, {'text': 'GhostAdventures', 'indices': [218, 234]}]",1.27094e+18,"['subscribe', 'to', 'our', 'channel']","['subscribe', 'channel']"
4,4,69909,108701392.0,thepennyhoarder,We're one of the world's largest personal finance websites on a mission to help our millions of readers worldwide earn and save money.,"St Petersburg, FL",8676,158525,35535,26/1/2010 20:00,17/6/2020 13:55,0,"@Aerotek is #hiring customer service call center reps and is paying $13 an hour plus benefits. This is a full-time, #WorkFromHome opportunity for those within a two-hour drive of Nashville, Tennessee. #WFH https://t.co/3mmOXQA3Tb","[{'text': 'hiring', 'indices': [12, 19]}, {'text': 'WorkFromHome', 'indices': [116, 129]}, {'text': 'WFH', 'indices': [201, 205]}]",1.27325e+18,"['is', 'customer', 'service', 'call', 'center', 'reps', 'and', 'is', 'paying', 'an', 'hour', 'plus', 'benefits', 'this', 'is', 'a', 'full', 'time', 'opportunity', 'for', 'those', 'within', 'a', 'two', 'hour', 'drive', 'of', 'nashville', 'tennessee']","['customer', 'service', 'call', 'center', 'rep', 'paying', 'hour', 'plus', 'benefit', 'full', 'time', 'opportunity', 'within', 'two', 'hour', 'drive', 'nashville', 'tennessee']"
4,4,68856,3320509150.0,WorkRemoteFT,Follow for daily remote job listings! Part of @jobsforthem network,World wide,12,12676,24912,12/6/2015 7:29,17/6/2020 19:05,0,💻 New Remote Job! 👉 Sales Intake Specialist @Uscreen #FullTime https://t.co/c2WxUefr2R #remotework #remotejobs #workfromhome,"[{'text': 'FullTime', 'indices': [53, 62]}, {'text': 'remotework', 'indices': [87, 98]}, {'text': 'remotejobs', 'indices': [99, 110]}, {'text': 'workfromhome', 'indices': [111, 124]}]",1.27333e+18,"['new', 'remote', 'job', 'sales', 'intake', 'specialist']","['new', 'remote', 'job', 'sale', 'intake', 'specialist']"
2,3,28665,1.18655e+18,JustinW77085014,"Customer Engagement Manager at @CloudFuze.

Please Subscribe Like Comment Share my YouTube channel https://t.co/ZCwuXn5x5K","Raleigh-Durham, North Carolina",3271,3001,311,22/10/2019 7:53,2/6/2020 18:01,0,"What is a SharePoint list?

https://t.co/rv36NP7Y89

#SharePoint #Office365 #CreateList #Column #WorkFromHome #Covid #StayHomeStaySafe","[{'text': 'SharePoint', 'indices': [53, 64]}, {'text': 'Office365', 'indices': [65, 75]}, {'text': 'CreateList', 'indices': [76, 87]}, {'text': 'Column', 'indices': [88, 95]}, {'text': 'WorkFromHome', 'indices': [96, 109]}, {'text': 'Covid', 'indices': [110, 116]}, {'text': 'StayHomeStaySafe', 'indices': [117, 134]}]",1.26788e+18,"['what', 'is', 'a', 'sharepoint', 'list']","['sharepoint', 'list']"
3,5,54521,1.01117e+18,remoteworkworld,"Expert #remoteworker #workingfromhome sharing advice, news & tips for all #remoteworkers #remoteworking #wfh FREE ebook at https://t.co/hIH5YMsEH0",,2573,1340,1480,25/6/2018 9:01,11/6/2020 16:50,0,Work from home: Working parents face cyber security risks https://t.co/XrLlVwp6C3           - - - #RemoteWorking  #RemoteWorkers #WorkingFromHome #WFH #CyberSecurity,"[{'text': 'RemoteWorking', 'indices': [98, 112]}, {'text': 'RemoteWorkers', 'indices': [114, 128]}, {'text': 'WorkingFromHome', 'indices': [129, 145]}, {'text': 'WFH', 'indices': [146, 150]}, {'text': 'CyberSecurity', 'indices': [151, 165]}]",1.27112e+18,"['work', 'from', 'home', 'working', 'parents', 'face', 'cyber', 'security', 'risks']","['work', 'home', 'working', 'parent', 'face', 'cyber', 'security', 'risk']"
1,3,4844,20731304.0,adafruit,Limor Fried of Adafruit appointed to Small Business Sector Advisory Council by NYC Mayor de Blasio @NYCMayorsOffice @NYCMayor @NYGovCuomo #NewYorkStrong,"New York, NY - USA",1426,174342,119870,12/2/2009 23:26,26/5/2020 20:46,1,“Best of Adafruit” Photo &amp; Video Series Day 59 #photography #art #design #wfh #bestofadafruit https://t.co/QKhJkqcJxt,"[{'text': 'photography', 'indices': [51, 63]}, {'text': 'art', 'indices': [64, 68]}, {'text': 'design', 'indices': [69, 76]}, {'text': 'wfh', 'indices': [77, 81]}, {'text': 'bestofadafruit', 'indices': [82, 97]}]",1.26538e+18,"['best', 'of', 'adafruit', 'photo', 'amp', 'video', 'series', 'day']","['best', 'adafruit', 'photo', 'amp', 'video', 'series', 'day']"
1,3,5706,850976172.0,irawanibr,"apalah
https://t.co/i6N8KXy89z",Jakarta Selatan,69,69,165,28/9/2012 12:28,26/5/2020 17:01,1,"Everyday is WFH day
#autocad #lumion #architecture #draftman #wfh #StayAtHome #3danimation https://t.co/wHcwtNVY7Y","[{'text': 'autocad', 'indices': [20, 28]}, {'text': 'lumion', 'indices': [29, 36]}, {'text': 'architecture', 'indices': [37, 50]}, {'text': 'draftman', 'indices': [51, 60]}, {'text': 'wfh', 'indices': [61, 65]}, {'text': 'StayAtHome', 'indices': [66, 77]}, {'text': '3danimation', 'indices': [78, 90]}]",1.26533e+18,"['everyday', 'is', 'wfh', 'day']","['everyday', 'wfh', 'day']"
4,2,62382,56621901.0,beverlyjohnson4,"FREE REPORT, LEARN HOW TO MAKE $289 DAILY WORKING A FEW HOURS PER WEEK! CLICK LINK BELOW #homebusiness #makemoney #workfromhome",Washington DC,1991,2740,7538,14/7/2009 5:57,15/6/2020 23:33,1,A nice video related to FREE EARN $695 IN 60 SECONDS https://t.co/03RyYOFYIZ #workathome #workfromhome #homebusiness #internetmarketing #onlinejobs #makemoneyonline,"[{'text': 'workathome', 'indices': [77, 88]}, {'text': 'workfromhome', 'indices': [89, 102]}, {'text': 'homebusiness', 'indices': [103, 116]}, {'text': 'internetmarketing', 'indices': [117, 135]}, {'text': 'onlinejobs', 'indices': [136, 147]}, {'text': 'makemoneyonline', 'indices': [148, 164]}]",1.27267e+18,"['a', 'nice', 'video', 'related', 'to', 'free', 'earn', 'in', 'seconds']","['nice', 'video', 'related', 'free', 'earn', 'second']"
2,7,42136,89955122.0,mymoneytips,Best Courses To Buy To Make Money Online. https://t.co/7eTEM88Wry  #internetmarketing #makemoneyonline #mmo #affiliatemarketing #onlinebiz #webmarketing #workfromhome,,8408,10413,44340,14/11/2009 15:19,6/6/2020 1:46,2,Are You Following The Right Gurus Online? Ways To Know You're Not... - https://t.co/098XwiMehx #affiliatemarketing #workfromhome #business #earnmoney #moneymaking #earn #bizop #makemoney #onlinemarketing,"[{'text': 'affiliatemarketing', 'indices': [95, 114]}, {'text': 'workfromhome', 'indices': [115, 128]}, {'text': 'business', 'indices': [129, 138]}, {'text': 'earnmoney', 'indices': [139, 149]}, {'text': 'moneymaking', 'indices': [150, 162]}, {'text': 'earn', 'indices': [163, 168]}, {'text': 'bizop', 'indices': [169, 175]}, {'text': 'makemoney', 'indices': [176, 186]}, {'text': 'onlinemarketing', 'indices': [187, 203]}]",1.26908e+18,"['are', 'you', 'following', 'the', 'right', 'gurus', 'online', 'ways', 'to', 'know', 'you', 're', 'not']","['following', 'right', 'guru', 'online', 'way', 'know']"
1,2,3909,1.05424e+18,Kazzator84,"Artist, Gamer and Adventurer. 
#professionalweirdo",Australia,595,67,877,22/10/2018 5:02,25/5/2020 6:24,0,"Work done for the day. Now to the work I really want to do.
#artshare #ArtistOnTwitter #arte #painting #monday #WorkFromHome #work https://t.co/Otkr7LXWY5","[{'text': 'artshare', 'indices': [60, 69]}, {'text': 'ArtistOnTwitter', 'indices': [70, 86]}, {'text': 'arte', 'indices': [87, 92]}, {'text': 'painting', 'indices': [93, 102]}, {'text': 'monday', 'indices': [103, 110]}, {'text': 'WorkFromHome', 'indices': [111, 124]}, {'text': 'work', 'indices': [125, 130]}]",1.2648e+18,"['work', 'done', 'for', 'the', 'day', 'now', 'to', 'the', 'work', 'i', 'really', 'want', 'to', 'do']","['work', 'done', 'day', 'work', 'really', 'want']"
3,7,60065,8.47217e+17,productivityzne,"Productivity + Systems // I help female entrepreneurs take back control of their day, their time, and their business. Get My Toolkit: https://t.co/ZN0SxBojJN","Massachusetts, USA",69,282,7182,29/3/2017 22:39,13/6/2020 16:51,0,The #SimplifiedPlanner is the ONLY planner I recommend for female entrepreneurs and small business owners!! Find out why 👉🏻 https://t.co/mGPk0ODjCv @EmilyLey  #entrepreneurlife #workfromhome https://t.co/QgQAow0XMV,"[{'text': 'SimplifiedPlanner', 'indices': [4, 22]}, {'text': 'entrepreneurlife', 'indices': [159, 176]}, {'text': 'workfromhome', 'indices': [177, 190]}]",1.27185e+18,"['the', 'is', 'the', 'only', 'planner', 'i', 'recommend', 'for', 'female', 'entrepreneurs', 'and', 'small', 'business', 'owners', 'find', 'out', 'why']","['planner', 'recommend', 'female', 'entrepreneur', 'small', 'business', 'owner', 'find']"
2,1,23631,31697068.0,dw_business,"Business news, background and analysis from Germany.","Berlin, Germany",515,26014,43731,16/4/2009 8:47,31/5/2020 14:28,0,"💻😷  Etiquette has taken a back seat as video calls show how the country lives...
#WorkFromHome
@wolfgang_beck @RateMySkypeRoom 
https://t.co/SymKJ00Z3z","[{'text': 'WorkFromHome', 'indices': [81, 94]}]",1.2671e+18,"['etiquette', 'has', 'taken', 'a', 'back', 'seat', 'as', 'video', 'calls', 'show', 'how', 'the', 'country', 'lives']","['etiquette', 'taken', 'back', 'seat', 'video', 'call', 'show', 'country', 'life']"
3,3,49677,54488262.0,Urbanroyy,Ready to have a laugh anytime!,,391,58,325,7/7/2009 8:15,9/6/2020 5:07,0,@ACTFibernet its been now the 3rd day since i have been made to pay for 6 months straight. No news of the engineer and no news of the contact person. Not sure if i have been duped or should this be considered as a scam. #ACT #wfhsetup #WFH,"[{'text': 'ACT', 'indices': [220, 224]}, {'text': 'wfhsetup', 'indices': [225, 234]}, {'text': 'WFH', 'indices': [235, 239]}]",1.27022e+18,"['its', 'been', 'now', 'the', 'rd', 'day', 'since', 'i', 'have', 'been', 'made', 'to', 'pay', 'for', 'months', 'straight', 'no', 'news', 'of', 'the', 'engineer', 'and', 'no', 'news', 'of', 'the', 'contact', 'person', 'not', 'sure', 'if', 'i', 'have', 'been', 'duped', 'or', 'should', 'this', 'be', 'considered', 'as', 'a', 'scam']","['rd', 'day', 'since', 'made', 'pay', 'month', 'straight', 'news', 'engineer', 'news', 'contact', 'person', 'sure', 'duped', 'considered', 'scam']"
4,7,78193,1.22937e+18,GayatriWable,"Marketing person, Interested in Graphics, Executive Marketing Support at Werardt as well as Owner at Matt & Ben Xclusive And Co",,38,23,394,17/2/2020 11:45,20/6/2020 8:19,0,#GiantCompanies say on #workfromhome #productivity #TCS #Infosys #Microsoft #Business #Corporate https://t.co/pvJoD4R00s,"[{'text': 'GiantCompanies', 'indices': [0, 15]}, {'text': 'workfromhome', 'indices': [23, 36]}, {'text': 'productivity', 'indices': [37, 50]}, {'text': 'TCS', 'indices': [51, 55]}, {'text': 'Infosys', 'indices': [56, 64]}, {'text': 'Microsoft', 'indices': [65, 75]}, {'text': 'Business', 'indices': [76, 85]}, {'text': 'Corporate', 'indices': [86, 96]}]",1.27426e+18,"['say', 'on']",['say']
1,2,3226,94037993.0,rohitnyss,"The World is a Book, and those who do not Travel read only One Page, Saint Augustine. #Traveller #Photographer #Scalemodeller #DigitalMarketer #trainspotter","Kolkata, India",505,1763,7353,2/12/2009 6:52,25/5/2020 12:02,0,"#workfromhome with my two assistants. Mr. Scraggles &amp; Princess Chloe
Notice how I’ve had to tie up the window handles because they know how to open the windows 🤷‍♂️
#catsofinstagram #pets #humour #lockdownlife @… https://t.co/Dp0vQG2tlH","[{'text': 'workfromhome', 'indices': [0, 13]}, {'text': 'catsofinstagram', 'indices': [169, 185]}, {'text': 'pets', 'indices': [186, 191]}, {'text': 'humour', 'indices': [192, 199]}, {'text': 'lockdownlife', 'indices': [200, 213]}]",1.26489e+18,"['with', 'my', 'two', 'assistants', 'mr', 'scraggles', 'amp', 'princess', 'chloenotice', 'how', 'ive', 'had', 'to', 'tie', 'up', 'the', 'window', 'handles', 'because', 'they', 'know', 'how', 'to', 'open', 'the', 'windows']","['two', 'assistant', 'mr', 'scraggles', 'amp', 'princess', 'chloenotice', 'ive', 'tie', 'window', 'handle', 'know', 'open', 'window']"
3,5,56794,1.24933e+18,martinb3686,Hi I spent over 10 years of making money online with affiliate marketing and forex trading I want to share my secrets in how to become a millionaire online,United Kingdom,603,176,2738,12/4/2020 13:42,11/6/2020 0:16,1,Anyone can get results like this when you get this done for you system https://t.co/9vCrU5jsob.    #makemoneyonline #WorkFromHome #AffiliateMarketing https://t.co/j8FlETBaxa,"[{'text': 'makemoneyonline', 'indices': [99, 115]}, {'text': 'WorkFromHome', 'indices': [116, 129]}, {'text': 'AffiliateMarketing', 'indices': [130, 149]}]",1.27087e+18,"['anyone', 'can', 'get', 'results', 'like', 'this', 'when', 'you', 'get', 'this', 'done', 'for', 'you', 'system']","['anyone', 'get', 'result', 'like', 'get', 'done', 'system']"
3,4,51532,9.54423e+17,MsMTCorbett,"Molloy College BA/MS class of 2020, future teacher, current behavior technician, and actual trenchcoat full of bees.",,109,40,31,19/1/2018 18:38,10/6/2020 14:46,0,Today's Zoom class had a special guest! #virtualclassroom #remotelearning #workfromhome #lastweekofschool #covidclassroom #teachertwitter #teacher #CatsOfTwitter #cat https://t.co/zhHznO8zxq,"[{'text': 'virtualclassroom', 'indices': [40, 57]}, {'text': 'remotelearning', 'indices': [58, 73]}, {'text': 'workfromhome', 'indices': [74, 87]}, {'text': 'lastweekofschool', 'indices': [88, 105]}, {'text': 'covidclassroom', 'indices': [106, 121]}, {'text': 'teachertwitter', 'indices': [122, 137]}, {'text': 'teacher', 'indices': [138, 146]}, {'text': 'CatsOfTwitter', 'indices': [147, 161]}, {'text': 'cat', 'indices': [162, 166]}]",1.27073e+18,"['today', 's', 'zoom', 'class', 'had', 'a', 'special', 'guest']","['today', 'zoom', 'class', 'special', 'guest']"
